headache	include	migraine	>	migraine	involve	pain
migraine	refer to	headache	>	migraine	characterise by	headache
migraine	associate with	headache	>	migraine	cause	headache
pain	be in	migraine	>	migraine	associate with	pain
headache	classify as	migraine	>	migraine	cause	pain
migraine	define as	headache	>	migraine	consist of	headache
headache	include	migraine	>	headache	divide into	migraine
migraine	describe as	headache	X	headache	confuse with	migraine
headache	diagnose as	migraine	>	migraine	think as	headache
headache	distinguish from	migraine	>	headache	mistake for	migraine
migraine	accompany by	headache	>	headache	simulate	migraine
headache	distinguish from	migraine	>	headache	differentiate from	migraine
migraine	present as	headache	>	pain	suggest	migraine
headache	divide into	migraine	X	headache	confuse with	migraine
headache	resemble	migraine	>	migraine	present as	headache
headache	suggest	migraine	>	migraine	involve	pain
headache	classify as	migraine	>	headache	include	migraine
migraine	have	aura	>	migraine	precede by	aura
headache	simulate	migraine	>	migraine	associate with	pain
headache	resemble	migraine	>	migraine	associate with	pain
headache	classify as	migraine	>	migraine	consist of	headache
headache	include	migraine	>	migraine	refer to	headache
headache	mistake for	migraine	>	headache	distinguish from	migraine
headache	divide into	migraine	>	migraine	associate with	pain
migraine	be at	period	>	migraine	disappear at	menopause
migraine	characterize by	headache	>	migraine	consist of	headache
migraine	differ from	headache	X	headache	diagnose as	migraine
migraine	define as	headache	>	migraine	associate with	pain
migraine	present during	period	>	migraine	be at	period
migraine	characterize by	headache	>	migraine	have	headache
headache	classify as	migraine	X	headache	mistake for	migraine
migraine	provoke by	aspartame	>	food	trigger	migraine
migraine	trigger by	food	>	food	induce	migraine
migraine	refer to	headache	>	migraine	consist of	headache
migraine	think as	headache	>	migraine	characterize by	pain
migraine	consist of	headache	>	migraine	associate with	pain
migraine	think as	headache	>	migraine	associate with	headache
headache	divide into	migraine	X	headache	distinguish from	migraine
migraine	associate with	headache	>	headache	resemble	migraine
migraine	start with	aura	>	migraine	have	aura
migraine	confuse with	neuralgia	>	neuralgia	confound with	migraine
migraine	differ from	headache	>	headache	distinguish from	migraine
migraine	cause	headache	>	migraine	associate with	pain
headache	divide into	migraine	>	headache	simulate	migraine
migraine	cause	pain	>	migraine	involve	pain
migraine	cause	nausea	>	migraine	accompany by	nausea
pain	suggest	migraine	>	migraine	associate with	pain
migraine	consist of	headache	>	migraine	characterize by	headache
headache	suggest	migraine	>	migraine	present as	headache
migraine	confuse with	neuralgia	>	neuralgia	differ from	migraine
migraine	associate with	vertigo	>	migraine	replace by	vertigo
migraine	consist of	headache	>	pain	suggest	migraine
food	induce	migraine	>	food	precipitate	migraine
nausea	accompany	migraine	>	migraine	associate with	nausea
migraine	refer to	headache	>	migraine	define as	headache
migraine	confuse with	epilepsy	>	migraine	associate with	epilepsy
migraine	cause	headache	>	pain	suggest	migraine
migraine	characterise by	headache	>	migraine	characterize by	headache
migraine	cause	headache	>	headache	simulate	migraine
food	trigger	migraine	>	food	precipitate	migraine
migraine	associate with	nausea	>	migraine	accompany with	nausea
migraine	define as	headache	>	migraine	associate with	headache
migraine	associate with	headache	>	migraine	characterise by	headache
headache	differentiate from	migraine	X	headache	classify as	migraine
headache	mistake for	migraine	X	headache	classify as	migraine
migraine	cause	nausea	>	migraine	accompany with	nausea
headache	include	migraine	>	migraine	describe as	headache
migraine	consist of	aura	>	migraine	begin with	aura
headache	diagnose as	migraine	X	headache	confuse with	migraine
headache	suggest	migraine	>	pain	be in	migraine
pain	suggest	migraine	>	migraine	cause	pain
migraine	cause	headache	>	migraine	characterize by	pain
headache	classify as	migraine	>	migraine	associate with	headache
headache	classify as	migraine	>	migraine	characterise by	headache
headache	diagnose as	migraine	>	migraine	characterise by	headache
migraine	characterise by	headache	>	migraine	associate with	headache
migraine	characterize by	pain	>	migraine	associate with	pain
migraine	differ from	headache	X	headache	classify as	migraine
migraine	associate with	nausea	>	nausea	occur with	migraine
headache	classify as	migraine	>	migraine	accompany by	headache
migraine	distinguish from	headache	X	migraine	describe as	headache
migraine	differ from	headache	>	headache	differ from	migraine
migraine	refer to	headache	X	headache	differ from	migraine
headache	simulate	migraine	>	migraine	present as	headache
nausea	associate with	migraine	>	migraine	associate with	nausea
migraine	describe as	headache	>	headache	suggest	migraine
headache	diagnose as	migraine	X	headache	distinguish from	migraine
headache	resemble	migraine	>	migraine	accompany by	headache
migraine	herald by	aura	>	migraine	start with	aura
migraine	define as	headache	X	headache	confuse with	migraine
headache	diagnose as	migraine	>	headache	suggest	migraine
migraine	accompany by	headache	>	migraine	characterise by	headache
headache	resemble	migraine	>	migraine	characterize by	headache
migraine	precede by	aura	>	migraine	associate with	aura
migraine	define as	headache	X	headache	differentiate from	migraine
headache	suggest	migraine	>	headache	simulate	migraine
migraine	associate with	headache	>	migraine	consist of	headache
migraine	accompany by	headache	>	migraine	involve	pain
headache	suggest	migraine	X	headache	distinguish from	migraine
migraine	describe as	headache	>	headache	classify as	migraine
migraine	characterise by	headache	>	migraine	have	headache
migraine	cause by	astigmatism	>	migraine	cure by	spectacle
migraine	cause	headache	>	migraine	present as	headache
headache	differ from	migraine	X	headache	include	migraine
migraine	accompany by	headache	>	migraine	cause	headache
migraine	have	headache	>	migraine	cause	pain
headache	suggest	migraine	>	migraine	associate with	pain
migraine	have	aura	>	migraine	associate with	aura
migraine	differ from	headache	X	migraine	refer to	headache
migraine	consist of	aura	>	migraine	associate with	aura
migraine	refer to	headache	>	headache	include	migraine
migraine	think as	headache	>	migraine	refer to	headache
headache	mistake for	migraine	X	headache	suggest	migraine
migraine	cause	nausea	>	nausea	occur with	migraine
migraine	present as	headache	>	migraine	consist of	headache
headache	include	migraine	>	headache	suggest	migraine
headache	differ from	migraine	X	headache	divide into	migraine
headache	confuse with	migraine	>	headache	distinguish from	migraine
migraine	distinguish from	headache	X	migraine	think as	headache
migraine	accompany by	headache	>	migraine	consist of	headache
migraine	describe as	headache	>	headache	diagnose as	migraine
migraine	associate with	headache	>	migraine	involve	pain
headache	suggest	migraine	>	headache	divide into	migraine
migraine	associate with	headache	>	migraine	cause	pain
headache	differentiate from	migraine	X	headache	divide into	migraine
migraine	involve	pain	>	migraine	characterize by	pain
migraine	precede by	aura	>	migraine	start with	aura
migraine	describe as	headache	>	migraine	characterize by	headache
headache	divide into	migraine	>	headache	resemble	migraine
migraine	herald by	aura	>	migraine	associate with	aura
migraine	begin with	aura	>	migraine	associate with	aura
migraine	differ from	headache	X	headache	suggest	migraine
headache	divide into	migraine	>	headache	classify as	migraine
migraine	describe as	headache	>	pain	suggest	migraine
migraine	accompany with	nausea	>	migraine	associate with	nausea
headache	simulate	migraine	>	headache	resemble	migraine
migraine	think as	headache	>	migraine	describe as	headache
migraine	define as	headache	>	migraine	refer to	headache
migraine	think as	headache	>	headache	suggest	migraine
migraine	cause	nausea	>	nausea	accompany	migraine
migraine	accompany by	nausea	>	nausea	occur with	migraine
migraine	provoke by	aspartame	>	migraine	trigger by	food
headache	differentiate from	migraine	>	headache	confuse with	migraine
migraine	cause	nausea	>	nausea	associate with	migraine
headache	suggest	migraine	>	migraine	characterize by	headache
migraine	think as	headache	X	headache	distinguish from	migraine
migraine	have	aura	>	migraine	herald by	aura
migraine	characterize by	headache	>	headache	simulate	migraine
migraine	replace by	vertigo	>	vertigo	associate with	migraine
migraine	associate with	nausea	>	nausea	associate with	migraine
headache	simulate	migraine	>	migraine	characterize by	headache
migraine	describe as	headache	X	migraine	distinguish from	headache
migraine	refer to	headache	>	migraine	involve	pain
headache	divide into	migraine	>	migraine	refer to	headache
migraine	define as	headache	>	headache	suggest	migraine
headache	include	migraine	>	pain	be in	migraine
migraine	associate with	nausea	>	nausea	accompany	migraine
migraine	characterise by	headache	>	pain	be in	migraine
migraine	characterize by	pain	>	migraine	involve	pain
headache	divide into	migraine	>	migraine	describe as	headache
headache	differentiate from	migraine	>	headache	distinguish from	migraine
headache	suggest	migraine	>	migraine	characterise by	headache
migraine	describe as	headache	>	headache	include	migraine
migraine	define as	headache	X	headache	differ from	migraine
headache	resemble	migraine	>	headache	simulate	migraine
headache	differ from	migraine	X	migraine	define as	headache
headache	diagnose as	migraine	>	headache	simulate	migraine
headache	suggest	migraine	>	headache	resemble	migraine
migraine	distinguish from	headache	X	migraine	refer to	headache
migraine	describe as	headache	X	headache	differ from	migraine
migraine	think as	headache	X	migraine	distinguish from	headache
migraine	refer to	headache	>	migraine	cause	headache
migraine	have	headache	>	migraine	consist of	headache
headache	simulate	migraine	>	migraine	accompany by	headache
migraine	associate with	pain	>	migraine	cause	pain
headache	diagnose as	migraine	>	headache	resemble	migraine
migraine	describe as	headache	>	migraine	present as	headache
vertigo	associate with	migraine	>	migraine	replace by	vertigo
migraine	present as	headache	>	migraine	cause	headache
migraine	refer to	headache	>	migraine	cause	pain
migraine	involve	pain	>	migraine	associate with	pain
migraine	think as	headache	>	headache	classify as	migraine
migraine	present as	headache	>	migraine	have	headache
headache	divide into	migraine	X	migraine	differ from	headache
headache	confuse with	migraine	X	migraine	define as	headache
migraine	think as	headache	>	migraine	involve	pain
headache	confuse with	migraine	X	migraine	refer to	headache
headache	include	migraine	X	headache	differentiate from	migraine
migraine	cause	headache	>	migraine	associate with	headache
headache	classify as	migraine	X	headache	differentiate from	migraine
